,Cellphone Img,Cellphone Brand,Cellphone Model,Tag
79,"https://images-na.ssl-images-amazon.com/images/I/31dL24WgS1L._AC_UL200_SR200,200_.jpg",Smartphone,"Samsung Galaxy S8, color plateado. Telcel pre-pago ",3
80,"https://images-na.ssl-images-amazon.com/images/I/61Y%2BNMuv05L._AC_UL200_SR200,200_.jpg",Apple,Smartphone iPhone XS MAX Gris Espacial - 256GB - Telcel Prepago ,3
81,"https://images-na.ssl-images-amazon.com/images/I/51-XBLc15%2BL._AC_UL200_SR200,200_.jpg",Smartphone,Apple iPhone 8 Plus 64GB color plata. AT&T pre-pago ,3
82,"https://images-na.ssl-images-amazon.com/images/I/41r3sMIcnwL._AC_UL200_SR200,200_.jpg",Hisense,Smartphone L675 Pro Gris AT&T pre-Pago ,3
83,"https://images-na.ssl-images-amazon.com/images/I/81wxIgEOKcL._AC_UL200_SR200,200_.jpg",Smartphone,"Apple iPhone 8 Plus 256GB, Color Plata, AT&T Prepago ",3
84,"https://images-na.ssl-images-amazon.com/images/I/31UVp4vcxAL._AC_UL200_SR200,200_.jpg",SAMSUNG,"SM-G9600 Smartphone Galaxy 5.8"", Color Gris. AT&T/Prepago ",3
85,"https://images-na.ssl-images-amazon.com/images/I/61rkf8Eq6fL._AC_UL200_SR200,200_.jpg",Alcatel,"ALC5033 Alc5033 Equipo 5033A LTE, Rosa ",3
86,"https://images-na.ssl-images-amazon.com/images/I/31Pvw14nx1L._AC_UL200_SR200,200_.jpg",Apple,"iPhone 7 plus 32 GB, rosa dorado ",3
87,"https://images-na.ssl-images-amazon.com/images/I/81NvX%2BgrHWL._AC_UL200_SR200,200_.jpg",Apple,iPhone 6 - Smartphone ,3
88,"https://images-na.ssl-images-amazon.com/images/I/41bLA6x5JgL._AC_UL200_SR200,200_.jpg",Hisense,Smartphone U963 Rosa AT&T pre-Pago ,3
89,"https://images-na.ssl-images-amazon.com/images/I/51PVVDM9x6L._AC_UL200_SR200,200_.jpg",Smartphone,"Apple iPhone 7 128 GB, dorado. Telcel pre-pago ",3
