,ProductImg,Product Brand,Product Model,Tag
152,"https://images-na.ssl-images-amazon.com/images/I/61SONhtHOxL._AC_UL200_SR200,200_.jpg",TV,"TV LG 49"" 4K Smart TV LED 49UN7100PUA ",2
153,"https://images-na.ssl-images-amazon.com/images/I/91aYCF4I1OL._AC_UL200_SR200,200_.jpg",TV,"TV Samsung 65"" 4K UHD Smart Tv LED Un65Tu7000Fxzx ( 2020 ) ",2
154,"https://images-na.ssl-images-amazon.com/images/I/71%2B5enz53sL._AC_UL200_SR200,200_.jpg",TV,"TV LG 49"" 4K Smart TV LED NanoCell 49NANO81UNA 2020 ",2
155,"https://images-na.ssl-images-amazon.com/images/I/81SZnYKocPL._AC_UL200_SR200,200_.jpg",Hisense,"Hisense 65"" Serie H8G Android 4K ULED Smart TV con Asistente de Google (65H8G, 2020) ",2
156,"https://images-na.ssl-images-amazon.com/images/I/71VfecGjmRL._AC_UL200_SR200,200_.jpg",TV,"TV LG 32"" HD Smart TV LED 32LM630BPUB ",2
157,"https://images-na.ssl-images-amazon.com/images/I/91mcHVhh9KL._AC_UL200_SR200,200_.jpg",TV,"TV Samsung 55"" 4K UHD Smart Tv LED UN55TU7000FXZX ( 2020 ) ",2
158,"https://images-na.ssl-images-amazon.com/images/I/71gzlKauNQL._AC_UL200_SR200,200_.jpg",Hisense,Hisense 32H4F 32-Inch LED Roku Smart TV with Alexa and Google Assistant Compatibility (2020) ,2
159,"https://images-na.ssl-images-amazon.com/images/I/31pO-n1BnTL._AC_UL200_SR200,200_.jpg",Pantalla,"Pantalla DE 40"" Full HD Smart TV ",2
160,"https://images-na.ssl-images-amazon.com/images/I/61AVcTBkE1L._AC_UL200_SR200,200_.jpg",TCL,"TCL Pantalla 65"" 4K UHD Smart TV HDR con Dolby Vision 65A527 ",2
161,"https://images-na.ssl-images-amazon.com/images/I/713G4gIXPiL._AC_UL200_SR200,200_.jpg",TV,"TV TCL 32"" HD Android TV LED 32A325 ",2
164,"https://images-na.ssl-images-amazon.com/images/I/41EE3d-Ti5L._AC_UL200_SR200,200_.jpg",TV,"TV Hisense 40"" Full HD Smart ROKU 40H4030F Renewed ",2
165,"https://images-na.ssl-images-amazon.com/images/I/81kOW6%2Bxa%2BL._AC_UL200_SR200,200_.jpg",TV,"TV Samsung 50"" 4K Th Frame Smart TV QLED QN50LS03TAFXZX (2020) ",2
166,"https://images-na.ssl-images-amazon.com/images/I/61AVcTBkE1L._AC_UL200_SR200,200_.jpg",TCL,TCL Pantalla 504K UHD Smart TV con Sistema Android TV y Dolby Vision 50A527 ,2
167,"https://images-na.ssl-images-amazon.com/images/I/81wLGLKUyzL._AC_UL200_SR200,200_.jpg",TV,"TV Hisense 75"" 4K Android TV ULED 75H8G (2020) ",2
168,"https://images-na.ssl-images-amazon.com/images/I/615-j1Da7TL._AC_UL200_SR200,200_.jpg",TV,"TV Samsung 50"" 4K UHD Smart Tv LED UN50TU8500FXZX ( 2020 ) ",2
175,"https://images-na.ssl-images-amazon.com/images/I/71sOVJhdjaL._AC_UL200_SR200,200_.jpg",TV,"TV 55"" TCL 4K UHD Smart Android TV Dolby digital 55A527 ",2
176,"https://images-na.ssl-images-amazon.com/images/I/61OQIfcV3uL._AC_UL200_SR200,200_.jpg",Sony,"Sony Television de 55"" SmartTV Pantalla 4k UltraHD | HDR |OS Android | 4K X-Reality Pro | Triluminos Display | Google ",2
177,"https://images-na.ssl-images-amazon.com/images/I/61FcdiByYyL._AC_UL200_SR200,200_.jpg",TV,"TV LG 43"" 4K Smart TV LED 43UM7100PUA ",2
178,"https://images-na.ssl-images-amazon.com/images/I/61pvw-RG2TL._AC_UL200_SR200,200_.jpg",Hisense,"Hisense Pantalla 58"" Smart TV UHD 4K 58H6500E ",2
179,"https://images-na.ssl-images-amazon.com/images/I/71m-zocopgL._AC_UL200_SR200,200_.jpg",TV,"TV Samsung 70"" 4K UHD Smart Tv LED UN70RU7100FXZX ",2
180,"https://images-na.ssl-images-amazon.com/images/I/71ajmBfSdGL._AC_UL200_SR200,200_.jpg",TV,"TV Sony 55"" 4K UHD Android TV LED XBR-55X900H ( 2020 ) ",2
181,"https://images-na.ssl-images-amazon.com/images/I/81V30ekeeeL._AC_UL200_SR200,200_.jpg",Hisense,"Hisense 40H5G Smart TV 40"" FULL HD, 1080p, Built-in Wi-Fi, 2020, Color Negro ",2
182,"https://images-na.ssl-images-amazon.com/images/I/71nlsCkthmL._AC_UL200_SR200,200_.jpg",TV,"TV LG 86"" 4K Smart TV LED 86UN8570PUB 2020 ",2
